"Rk","Player","Pos","From","To","Wins"
150,"Zaza Pachulia","C",2004,2019,545
151,"Ricky Pierce","G",1983,1998,545
152,"Walter Davis","G",1978,1992,544
153,"Hersey Hawkins","G",1989,2001,544
154,"Grant Hill","F",1995,2013,543
155,"Doc Rivers","G",1984,1996,543
156,"NenÃª HilÃ¡rio","F",2003,2019,542
157,"Michael Cage","F",1985,2000,541
158,"T.R. Dunn","G",1978,1991,541
159,"Derrick McKey","F",1988,2002,541
160,"Kevin Durant","F",2008,2021,540
161,"Lamar Odom","F",2000,2013,537
162,"Wayne Cooper","C",1979,1992,536
163,"Nazr Mohammed","C",1999,2016,536
164,"Sedale Threatt","G",1984,1997,534
165,"Devin Harris","G",2005,2019,533
166,"Rick Fox","F",1992,2004,532
167,"Danny Ferry","F",1991,2003,531
168,"Jamaal Wilkes","F",1975,1986,531
169,"Olden Polynice","C",1988,2004,530
170,"Gail Goodrich","G",1966,1979,529
171,"Anthony Mason","F",1990,2003,529
172,"Mike Bibby","G",1999,2012,526
173,"Al Horford","C",2008,2021,523
174,"Mark Aguirre","F",1982,1994,522
175,"Danny Green","G",2010,2021,522
176,"Bobby Jones","F",1977,1986,522
177,"Alton Lister","C",1982,1998,522
178,"Alvan Adams","C",1976,1988,521
179,"Dell Curry","G",1987,2002,520
180,"Thabo Sefolosha","G",2007,2020,520
181,"Lindsey Hunter","G",1994,2010,518
182,"Joe Kleine","C",1986,2000,518
183,"Kyle Lowry","G",2007,2021,518
184,"Bob Lanier","C",1971,1984,517
185,"Toni KukoÄ","F",1994,2006,516
186,"Mike Miller","F",2001,2017,516
187,"Erick Dampier","C",1997,2012,515
188,"Leroy Ellis","C",1963,1976,515
189,"Nate Thurmond","C",1964,1977,513
190,"Metta World Peace","F",2000,2017,513
191,"Udonis Haslem","F",2004,2020,512
192,"Bob Dandridge","F",1970,1982,511
193,"John Starks","G",1989,2002,511
194,"Lou Williams","G",2006,2021,511
195,"Leandro Barbosa","G",2004,2017,510
196,"Fred Brown","G",1972,1984,509
197,"Cliff Levingston","F",1983,1995,509
198,"George Hill","G",2009,2021,507
199,"Gerald Henderson","G",1980,1992,506
200,"Hot Rod Williams","F",1987,1999,506
201,"Matt Bonner","F",2005,2016,505
202,"Glen Rice","F",1990,2004,504
203,"Craig Ehlo","G",1985,1997,501
204,"Richard Hamilton","G",2000,2013,501
205,"Jerry Stackhouse","G",1996,2013,501
206,"Peja StojakoviÄ‡","F",1999,2011,501
207,"Brent Barry","G",1996,2009,500
208,"Bill Bridges","F",1963,1975,500
209,"James Donaldson","C",1981,1995,500
210,"Tim Hardaway","G",1990,2003,500
211,"Cedric Maxwell","F",1978,1988,500
212,"Larry Nance","F",1982,1994,500
213,"Rajon Rondo","G",2007,2021,500
214,"Rolando Blackman","G",1982,1994,499
215,"Nick Collison","F",2005,2018,499
216,"Marvin Williams","F",2006,2020,499
217,"Earl Monroe","G",1968,1980,496
218,"Chris Mullin","F",1986,2001,496
219,"Johnny Newman","F",1987,2002,495
220,"Eric Snow","G",1996,2008,495
221,"Mark Eaton","C",1983,1993,494
222,"K.C. Jones","G",1959,1967,494
223,"Shaun Livingston","G",2005,2019,494
224,"Antonio Daniels","G",1998,2011,493
225,"Al Harrington","F",1999,2014,493
226,"Joe Smith","F",1996,2011,493
227,"Tony Allen","G",2005,2018,492
228,"Luol Deng","F",2005,2019,491
229,"Alonzo Mourning","C",1993,2008,491
230,"Will Perdue","C",1989,2001,491
231,"Paul Westphal","G",1973,1984,491
232,"Antonio Davis","F",1994,2006,490
233,"DeAndre Jordan","C",2009,2021,489
234,"Chris Bosh","F",2004,2016,488
235,"Nate McMillan","G",1987,1998,488
236,"Raymond Felton","G",2006,2019,487
237,"Rasho NesteroviÄ‡","C",2000,2010,487
238,"Ervin Johnson","C",1994,2006,486
239,"Sidney Moncrief","G",1980,1991,486
240,"Scott Wedman","F",1975,1987,486
241,"Dave Cowens","C",1971,1983,485
242,"Walt Frazier","G",1968,1980,485
243,"Marcus Camby","C",1997,2013,484
244,"Marc Gasol","C",2009,2021,484
245,"Stephen Curry","G",2010,2021,482
246,"Gus Williams","G",1976,1987,482
247,"Rik Smits","C",1989,2000,480
248,"Nick Van Exel","G",1994,2006,479
249,"Chris Dudley","C",1988,2003,478
250,"Tracy McGrady","F",1998,2012,478
251,"Amar'e Stoudemire","F",2003,2016,478
252,"David Wesley","G",1994,2007,477
253,"Herb Williams","C",1982,1999,477
254,"Tom Heinsohn","F",1957,1965,475
255,"Greg Ostertag","C",1996,2006,475
256,"Malik Rose","F",1997,2009,475
257,"Elgin Baylor","F",1959,1972,473
258,"Tiny Archibald","G",1971,1984,472
259,"Bailey Howell","F",1960,1971,472
260,"Kevin Johnson","G",1988,2000,472
261,"Chris Webber","F",1994,2008,472
262,"Jo Jo White","G",1970,1981,472
263,"Red Kerr","C",1955,1966,471
264,"Adrian Dantley","F",1977,1991,470
265,"Brad Davis","G",1978,1992,470
266,"Kendrick Perkins","C",2004,2016,470
267,"Dick Snyder","G",1967,1979,470
268,"Mike Dunleavy","F",2003,2017,469
269,"Zydrunas Ilgauskas","C",1998,2011,468
270,"Danny Manning","F",1989,2003,468
271,"Sleepy Floyd","G",1983,1995,467
272,"Allen Iverson","G",1997,2010,466
273,"Thurl Bailey","F",1984,1999,465
274,"Jon Koncak","C",1986,1996,464
275,"Patty Mills","G",2010,2021,464
276,"Sam Mitchell","F",1990,2002,464
277,"Steve Mix","F",1970,1983,464
278,"Steve Blake","G",2004,2016,463
279,"Chuck Person","F",1987,2000,463
280,"Mark Bryant","F",1989,2003,462
281,"Darryl Dawkins","C",1976,1989,462
282,"Calvin Murphy","G",1971,1983,462
283,"Mario Elie","G",1991,2001,461
284,"George Johnson","C",1973,1986,461
285,"James Jones","F",2004,2017,461
286,"Mike Conley","G",2008,2021,460
287,"Maurice Lucas","F",1977,1988,460
288,"Deron Williams","G",2006,2017,460
289,"Taj Gibson","F",2010,2021,459
290,"John Paxson","G",1984,1994,459
291,"Sean Elliott","F",1990,2001,458
292,"Amir Johnson","F",2006,2019,458
293,"Jeff Malone","G",1984,1996,458
294,"Slater Martin","G",1950,1960,457
295,"Paul Pressey","G",1983,1993,457
296,"B.J. Armstrong","G",1990,2000,456
297,"Carlos Boozer","F",2003,2015,456
298,"John Lucas","G",1977,1990,456
299,"Dave DeBusschere","F",1963,1974,455
300,"Howard Eisley","G",1995,2006,455
301,"Cazzie Russell","F",1967,1978,455
302,"Mel Counts","C",1965,1976,454
303,"Stephen Jackson","F",2001,2014,454
304,"James Posey","F",2000,2011,454
305,"Goran DragiÄ‡","G",2009,2021,453
306,"Chris Ford","G",1973,1982,453
307,"Antawn Jamison","F",1999,2014,453
308,"Sam Lacey","C",1971,1983,453
309,"Jon McGlocklin","G",1966,1976,453
310,"Jalen Rose","G",1995,2007,453
