"Rk","Player","Pos","From","To","Wins"
653,"Bobby Wanzer","G",1949,1957,336
654,"Walt Williams","F",1993,2003,336
655,"Keith Bogans","G",2004,2014,335
656,"Mike Brown","C",1987,1997,335
657,"Anthony Carter","G",2000,2012,335
658,"Tom Gola","G",1956,1966,335
659,"Rod Higgins","F",1983,1995,335
660,"Al-Farouq Aminu","F",2011,2021,334
661,"Kenny Carr","F",1978,1987,334
662,"Mike Mitchell","F",1979,1988,334
663,"Luke Walton","F",2004,2013,334
664,"Connie Dierking","C",1959,1971,333
665,"Frank Johnson","G",1982,1994,333
666,"Kevin Loughery","G",1963,1973,333
667,"Aaron Williams","F",1994,2008,333
668,"Tony Campbell","F",1985,1995,332
669,"Sidney Green","F",1984,1993,332
670,"Carlos Arroyo","G",2002,2011,330
671,"Otis Birdsong","G",1978,1989,330
672,"Mike Evans","G",1980,1988,330
673,"Marc Iavaroni","F",1983,1989,330
674,"Kevin Love","F",2009,2021,330
675,"Marcus Morris","F",2012,2021,330
676,"Ray Williams","G",1978,1987,330
677,"Mike Woodson","G",1981,1991,330
678,"Josh Howard","F",2004,2013,329
679,"Morris Peterson","F",2001,2011,329
680,"Danny Young","G",1985,1995,328
681,"Mike Bantom","F",1974,1982,327
682,"Danilo Gallinari","F",2009,2021,327
683,"Alvin Robertson","G",1985,1996,327
684,"Greg Kite","C",1984,1995,326
685,"Calvin Natt","F",1980,1990,326
686,"Glen Davis","F",2008,2015,325
687,"Luke Jackson","F",1965,1972,325
688,"Pat Cummings","F",1980,1991,324
689,"Alan Henderson","F",1996,2007,324
690,"Randy Brown","G",1992,2003,323
691,"Wilson Chandler","F",2008,2020,323
692,"Chris Kaman","C",2004,2016,323
693,"Jim Barnett","G",1967,1977,322
694,"James Johnson","F",2010,2021,322
695,"Scot Pollard","C",1998,2008,322
696,"Larry Hughes","G",1999,2012,321
697,"Kelly Tripucka","F",1982,1991,321
698,"Greg Buckner","G",2000,2009,320
699,"Bimbo Coles","G",1991,2004,320
700,"Chris Gatling","F",1992,2002,320
701,"Tom Gugliotta","F",1993,2005,320
702,"Mitch Kupchak","F",1977,1986,320
703,"Mike McGee","G",1982,1990,320
704,"Billy Paultz","C",1977,1985,320
705,"Jim Cleamons","G",1972,1980,319
706,"Ernie Grunfeld","G",1978,1986,319
707,"Othella Harrington","F",1997,2008,319
708,"Jonas Jerebko","F",2010,2019,319
709,"Dahntay Jones","G",2004,2015,319
710,"Don Kojis","F",1964,1975,319
711,"Corey Maggette","F",2000,2013,319
712,"Ruben Patterson","F",1999,2008,319
713,"Dennis Scott","F",1991,2000,319
714,"Ben Gordon","G",2005,2015,318
715,"Don Ohl","G",1961,1970,318
716,"Darrell Walker","G",1984,1993,318
717,"Roy Hibbert","C",2009,2017,317
718,"Sasha VujaÄiÄ‡","G",2005,2017,317
719,"Andrew Toney","G",1981,1988,316
720,"Avery Bradley","G",2011,2021,315
721,"Luc Longley","C",1992,2001,315
722,"Terry Mills","F",1991,2001,315
723,"C.J. Watson","G",2008,2017,315
724,"Glenn Robinson","F",1995,2005,314
725,"Brian Scalabrine","F",2002,2012,314
726,"Hank Finkel","C",1967,1975,313
727,"Terrence Ross","F",2013,2021,313
728,"Zelmo Beaty","C",1963,1975,312
729,"DeMarre Carroll","F",2010,2020,312
730,"Marquis Daniels","G",2004,2013,312
731,"Ed Davis","F",2011,2021,312
732,"Duane Ferrell","F",1989,1999,312
733,"Lorenzen Wright","F",1997,2009,312
734,"Rory Sparrow","G",1982,1992,311
735,"Bob Sura","G",1996,2005,311
736,"Marvin Webster","C",1977,1987,311
737,"Brad Daugherty","C",1987,1994,310
738,"Tom Hammonds","F",1990,2001,310
739,"Charles Johnson","G",1973,1979,310
740,"Otto Moore","C",1969,1977,310
741,"Markieff Morris","F",2012,2021,310
742,"Ron Anderson","F",1985,1994,309
743,"Willie Anderson","G",1989,1997,309
744,"David Benoit","F",1992,2001,309
745,"Austin Carr","G",1972,1981,309
746,"Connie Simmons","C",1947,1956,309
747,"Max Zaslofsky","G",1947,1956,309
748,"Vincent Askew","G",1988,1998,308
749,"John Mengelt","G",1972,1980,308
750,"Joe Barry Carroll","C",1981,1991,307
751,"MickaÃ«l PiÃ©trus","G",2004,2013,307
752,"Austin Rivers","G",2013,2021,307
753,"Anthony Tolliver","F",2009,2020,307
754,"Ray Felix","C",1954,1962,306
755,"Jim Fox","C",1968,1977,306
756,"Tracy Murray","F",1993,2004,306
757,"Rick Robey","C",1979,1986,306
758,"Tristan Thompson","F",2012,2021,306
759,"Joel Anthony","C",2008,2017,305
760,"Michael Doleac","C",1999,2008,305
761,"Larry Drew","G",1981,1991,305
762,"Chris Duhon","G",2005,2013,305
763,"Sidney Wicks","F",1972,1981,305
764,"Kyrie Irving","G",2012,2021,304
765,"Spencer Hawes","C",2008,2017,303
766,"Red Rocha","C",1948,1957,303
767,"Randy Foye","G",2007,2017,302
768,"Kevin Ollie","G",1998,2010,302
769,"Tom Henderson","G",1975,1983,301
770,"Charles Jones","F",1984,1998,301
771,"Charles Smith","F",1989,1997,301
772,"Derek Anderson","G",1998,2008,300
773,"Jarron Collins","F",2002,2011,300
774,"Jim Davis","C",1968,1975,300
775,"Steve Johnson","C",1982,1991,300
776,"Sean Rooks","C",1993,2004,300
777,"Gene Shue","G",1955,1964,300
778,"Aron Baynes","C",2013,2021,299
779,"Sherman Douglas","G",1990,2001,299
780,"Jamal Mashburn","F",1994,2004,299
781,"Dennis SchrÃ¶der","G",2014,2021,299
782,"Randy Wittman","G",1984,1992,299
783,"Mason Plumlee","C",2014,2021,298
784,"Chuck Share","C",1952,1960,298
785,"Jamaal Tinsley","G",2002,2013,298
786,"Jimmy Walker","G",1968,1976,298
787,"Kent Bazemore","G",2013,2021,297
788,"Tobias Harris","F",2012,2021,297
789,"Troy Murphy","F",2002,2013,297
790,"Jay Vincent","F",1982,1990,297
791,"Giannis Antetokounmpo","F",2014,2021,296
792,"Benoit Benjamin","C",1986,2000,296
793,"Nat Clifton","C",1951,1958,296
794,"John Crotty","G",1993,2003,296
795,"Blue Edwards","G",1990,1999,296
796,"Vitaly Potapenko","C",1997,2007,296
797,"Ray Scott","F",1962,1970,296
798,"Terry Teagle","F",1983,1993,296
799,"Manute Bol","C",1986,1995,295
800,"Earl Boykins","G",1999,2012,295
801,"Matt Geiger","C",1993,2001,295
802,"Frank Selvy","G",1955,1964,295
803,"Arvydas Sabonis","C",1996,2003,294
804,"Mike Scott","F",2013,2021,294
805,"Keith Van Horn","F",1998,2006,294
806,"Mike Bratz","G",1978,1986,293
807,"DeSagana Diop","C",2002,2013,293
808,"Howard Komives","G",1965,1974,293
809,"Pete Maravich","G",1971,1980,293
810,"Sasha PavloviÄ‡","G",2004,2013,293
811,"Dave Stallworth","F",1966,1975,293
812,"Johnny Egan","G",1962,1972,292
813,"Joe Ingles","F",2015,2021,292
814,"George Mikan","C",1949,1956,292
815,"Kemba Walker","G",2012,2021,292
816,"Darwin Cook","G",1981,1989,291
817,"Kyle Macy","G",1981,1987,291
818,"Joe Meriweather","C",1976,1985,291
819,"Tony Snell","G",2014,2021,291
820,"Kenny Thomas","F",2000,2010,291
821,"Jerryd Bayless","G",2009,2019,290
822,"Ty Lawson","G",2010,2017,290
823,"Johnny Moore","G",1981,1990,290
824,"Dudley Bradley","G",1980,1989,289
825,"Carlos Delfino","G",2005,2013,289
826,"Voshon Lenard","G",1996,2006,289
827,"Earl Lloyd","F",1951,1960,289
828,"Desmond Mason","F",2001,2010,289
829,"Eric Williams","F",1996,2007,289
830,"Ollie Johnson","F",1973,1982,288
831,"Walter McCarty","F",1997,2006,288
832,"Jim Pollard","F",1949,1955,288
833,"Jim Price","G",1973,1979,288
834,"Jerry Sichting","G",1981,1990,288
835,"Wally Walker","F",1977,1984,288
836,"Patrick Beverley","G",2013,2021,287
837,"Mike Glenn","G",1978,1987,287
838,"Jack McMahon","G",1953,1960,287
839,"Garrett Temple","G",2010,2021,287
840,"Darnell Valentine","G",1982,1991,287
841,"Butch Beard","G",1970,1979,286
842,"Rudy Gobert","C",2014,2021,285
843,"George McGinnis","F",1976,1982,285
844,"Michael Redd","G",2001,2012,285
845,"Michael Adams","G",1986,1996,284
846,"Bob Davies","G",1949,1955,284
847,"Khris Middleton","F",2013,2021,284
848,"Yao Ming","C",2003,2011,284
849,"Ed Nealy","F",1983,1993,284
850,"Gary Trent","F",1996,2004,284
851,"Bradley Beal","G",2013,2021,283
852,"Danny Granger","F",2006,2015,283
853,"Brad Lohaus","F",1988,1998,283
854,"Eric Piatkowski","G",1995,2008,283
855,"Rodney Stuckey","G",2008,2017,283
856,"Art Williams","G",1968,1974,283
857,"Nate Williams","F",1972,1979,283
858,"Jordan Farmar","G",2007,2017,282
859,"Gus Johnson","F",1964,1973,282
860,"Curtis Perry","F",1971,1978,282
861,"Dee Brown","G",1991,2002,281
862,"Chris Childs","G",1995,2003,281
863,"Ã–mer AÅŸÄ±k","C",2011,2018,280
864,"Billy Knight","G",1977,1985,280
865,"Jeremy Lamb","G",2013,2021,280
866,"Jason Maxiell","F",2006,2015,280
867,"Billy Owens","F",1992,2001,280
868,"Donald Royal","F",1990,1998,280
869,"John Wall","G",2011,2021,280
870,"Will Barton","G",2013,2021,279
871,"Anthony Davis","F",2013,2021,279
872,"Pat Garrity","F",1999,2008,279
873,"Kevin Kunnert","C",1974,1982,279
874,"Reggie Lewis","G",1988,1993,279
875,"Iman Shumpert","G",2012,2021,279
876,"Len Elmore","C",1977,1984,278
877,"Alex Hannum","F",1950,1957,278
878,"David Thompson","G",1977,1984,278
879,"Bob Gross","F",1976,1983,277
880,"Kelly Olynyk","C",2014,2021,277
881,"Joel Przybilla","C",2001,2013,277
882,"Campy Russell","F",1975,1982,277
883,"Larry Steele","G",1972,1980,277
884,"Loy Vaught","F",1991,2001,277
885,"Brevin Knight","G",1998,2009,276
886,"Chris Mills","F",1994,2003,276
887,"Shareef Abdur-Rahim","F",1997,2008,275
888,"DeJuan Blair","F",2010,2016,275
889,"Allan Bristow","F",1974,1983,275
890,"Devin Brown","G",2003,2010,275
891,"Ricky Davis","G",1999,2010,275
892,"CJ McCollum","G",2014,2021,275
893,"E'Twaun Moore","G",2012,2021,275
894,"Bobby Phills","G",1992,2000,275
895,"Lance Stephenson","G",2011,2019,275
896,"Kentavious Caldwell-Pope","G",2014,2021,274
897,"Adrian Griffin","G",2000,2008,274
898,"Bob Ferry","C",1960,1969,273
899,"Micheal Ray Richardson","G",1979,1986,273
900,"Joe Bryant","F",1976,1983,272
901,"Joe Ellis","F",1967,1974,272
902,"Jack Nichols","C",1949,1958,272
903,"Curtis Rowe","F",1972,1979,272
904,"Bill Walton","C",1975,1987,272
905,"Jason Caffey","F",1996,2003,271
906,"Raef LaFrentz","F",1999,2008,271
907,"Charlie Scott","G",1972,1980,271
908,"Greg Smith","F",1969,1975,271
909,"Ron Williams","G",1969,1976,271
910,"Kwame Brown","F",2002,2013,270
911,"Corky Calhoun","F",1973,1980,270
912,"Andre Drummond","C",2013,2021,270
913,"Stacey King","F",1990,1997,270
914,"Tony Massenburg","F",1991,2005,270
915,"Scott Hastings","F",1983,1993,269
916,"Steve Francis","G",2000,2008,268
917,"John Gianelli","C",1973,1980,268
918,"Nate Robinson","G",2006,2015,268
919,"Rony Seikaly","C",1989,1999,268
920,"Andrew Bynum","C",2006,2014,267
921,"Kelvin Cato","C",1998,2007,267
922,"Jeff Cook","F",1980,1988,267
923,"Adonal Foyle","C",1998,2009,267
924,"Trenton Hassell","G",2002,2010,267
925,"Robert Pack","G",1992,2004,267
926,"Odie Spears","G",1949,1957,267
927,"Wayne Ellington","G",2010,2021,266
928,"Elliot Perry","G",1992,2001,266
929,"Pat Riley","G",1968,1976,266
930,"Jerome Williams","F",1997,2005,266
931,"Dorell Wright","F",2005,2015,266
932,"Francisco Elson","C",2004,2012,265
933,"Carl Herrera","F",1992,1999,265
934,"Blair Rasmussen","C",1986,1993,265
935,"Ricky Rubio","G",2012,2021,265
936,"Greg Anderson","F",1988,1998,264
937,"Larry Kenon","F",1977,1983,264
938,"Ish Smith","G",2011,2021,264
939,"John Bagley","G",1983,1994,263
940,"Neal Walk","C",1970,1977,263
941,"Bismack Biyombo","C",2012,2021,262
942,"Herm Gilliam","G",1970,1977,262
943,"Jared Jeffries","F",2003,2013,262
944,"Mark Madsen","F",2001,2009,262
945,"Jodie Meeks","G",2010,2019,262
946,"Felton Spencer","C",1991,2002,262
947,"Nick Young","G",2008,2019,262
948,"John Block","F",1967,1976,261
949,"Mike Gale","G",1977,1982,261
950,"Greg Monroe","C",2011,2019,261
951,"Scott Padgett","F",2000,2007,261
952,"Rex Chapman","G",1989,2000,260
953,"Lester Conner","G",1983,1995,260
954,"Don Ford","F",1976,1982,260
955,"Jeff McInnis","G",1997,2008,260
956,"Ronnie Price","G",2006,2017,260
957,"Flynn Robinson","G",1967,1973,260
958,"Jason Smith","F",2008,2019,260
959,"Jeff Turner","F",1985,1996,260
960,"Michael Beasley","F",2009,2019,259
961,"Lamond Murray","F",1995,2006,259
962,"Jannero Pargo","G",2003,2015,259
963,"Ben Poquette","F",1978,1987,259
964,"Fred Scolari","G",1947,1955,259
965,"Elston Turner","G",1982,1989,259
966,"John Tresvant","F",1965,1973,258
967,"Mike James","G",2002,2014,257
968,"Ronald Murray","G",2003,2010,257
969,"Kurt Nimphius","C",1982,1990,257
970,"Tom Owens","C",1977,1983,257
971,"Jim Petersen","F",1985,1992,257
972,"Dave Robisch","C",1977,1984,257
973,"Charlie Villanueva","F",2006,2016,257
974,"Danny Vranes","F",1982,1988,257
975,"Len Chappell","F",1963,1971,256
976,"Tony Delk","G",1997,2006,256
977,"Jaren Jackson","G",1990,2002,256
978,"Marcus Smart","G",2015,2021,256
979,"Keith Askins","G",1991,1999,255
980,"Ken Norman","F",1988,1997,255
981,"Terry Dischinger","F",1963,1973,254
982,"Anthony Morrow","G",2009,2017,254
983,"Cliff Robinson","F",1980,1992,254
984,"Chris Whitney","G",1994,2004,254
985,"Gilbert Arenas","G",2002,2012,253
986,"J.J. Hickson","F",2009,2016,253
987,"Brandon Jennings","G",2010,2018,252
988,"Isaiah Rider","G",1994,2002,252
989,"Anthony Bowie","G",1989,1998,251
990,"Buck Johnson","F",1987,1993,251
991,"Wesley Johnson","F",2011,2019,250
992,"Toby Kimball","F",1967,1974,250
993,"Mikki Moore","C",2000,2012,250
994,"Ed Conlin","F",1956,1962,249
995,"Troy Hudson","G",1998,2008,249
996,"O.J. Mayo","G",2009,2016,249
997,"Isaiah Thomas","G",2012,2020,249
998,"Monty Williams","F",1995,2003,249
999,"George Yardley","F",1954,1960,249
1000,"Jim Krebs","C",1958,1964,248
